Exercício: 2013
Escopo: Municípios do Estado - PA
Tabela: Receitas Orçamentárias (Anexo I-C)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"Total Receitas";24758868,41
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.0.0.0.00.00.00 - Receitas Correntes";24232818,41
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.0.0.00.00.00 - Receita Tributária";659849,78
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.0.00.00.00 - Impostos";616148,96
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda";369365,66
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU";1238,01
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR";311325,27
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.2.04.30.00 - Retido nas Fontes";311325,27
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.2.08.00.00 - Imposto sobre Transmissão "Inter Vivos" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";56802,38
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação";246783,3
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN";246783,3
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.2.0.00.00.00 - Taxas";43700,82
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia";43700,82
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.2.0.0.00.00.00 - Receitas de Contribuições";132034,32
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública";132034,32
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.3.0.0.00.00.00 - Receita Patrimonial";115200,92
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.3.2.0.00.00.00 - Receitas de Valores Mobiliários";115200,92
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários";115200,92
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.0.0.00.00.00 - Transferências Correntes";23317582,69
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.0.00.00.00 - Transferências Intergovernamentais";23267582,69
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.00.00.00 - Transferências da União";10395686,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.01.00.00 - Participação na Receita da União";6985378,37
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM";6939477,97
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR";45900,4
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.22.00.00 - Transferências da Compensação Financeira pela Exploração de Recursos Naturais";98628,52
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.22.70.00 - Cota-Parte do Fundo Especial do Petróleo ¿ FEP";98628,52
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.33.00.00 - Transferências de Recursos do Sistema Único de Saúde - SUS - Repasses Fundo a Fundo";1824928,44
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.34.00.00 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS";251657,88
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.35.00.00 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE";1045361,06
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.36.00.00 - Transferências Financeira do ICMS ¿ Desoneração ¿ L.C. Nº 87/96";46800,82
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.1.99.00.00 - Outras Transferências da União";142930,91
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.00.00.00 - Transferências dos Estados";5384646,38
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.01.00.00 - Participação na Receita dos Estados";4479998,05
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.01.01.00 - Cota-Parte do ICMS";4265008,59
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.01.02.00 - Cota-Parte do IPVA";59843,69
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.01.04.00 - Cota-Parte do IPI sobre Exportação";154110,77
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.01.13.00 - Cota-Parte da Contribuição de Intervenção no Domínio Econômico";1035,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.33.00.00 - Transferências de Recursos do Estado para Programas de Saúde - Repasse Fundo a Fundo";843231,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.2.99.00.00 - Outras Transferências dos Estados";61417,33
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.4.00.00.00 - Transferências Multigovernamentais";7487250,31
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.4.01.00.00 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB";4453767,68
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.2.4.02.00.00 - Transferências de Recursos da Complementação ao Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB";3033482,63
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.6.0.00.00.00 - Transferências de Convênios";50000,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.6.2.00.00.00 - Transferências de Convênios dos Estados e do Distrito Federal e de Suas Entidades";50000,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.7.6.2.99.00.00 - Outras Transferências de Convênios dos Estados";50000,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.9.0.0.00.00.00 - Outras Receitas Correntes";8150,7
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"1.9.9.0.00.00.00 - Receitas Diversas";8150,7
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.0.0.0.00.00.00 - Receitas de Capital";526050,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.4.0.0.00.00.00 - Transferências de Capital";526050,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.4.2.0.00.00.00 - Transferências Intergovernamentais";100000,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.4.2.2.00.00.00 - Transferências dos Estados";100000,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.4.2.2.99.00.00 - Outras Transferências dos Estados";100000,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.4.7.0.00.00.00 - Transferências de Convênios";426050,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.4.7.1.00.00.00 - Transferências de Convênios da União e de suas Entidades";426050,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Receitas Realizadas";"2.4.7.1.99.00.00 - Outras Transferências de Convênios da União";426050,00
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"Total Receitas";2243312,42
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.0.0.0.00.00.00 - Receitas Correntes";2243312,42
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.0.0.00.00.00 - Transferências Correntes";2243312,42
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.0.00.00.00 - Transferências Intergovernamentais";2243312,42
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.1.00.00.00 - Transferências da União";1347459,58
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.1.01.00.00 - Participação na Receita da União";1338099,45
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM";1328920,03
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR";9179,42
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.1.36.00.00 - Transferências Financeira do ICMS ¿ Desoneração ¿ L.C. Nº 87/96";9360,13
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.2.00.00.00 - Transferências dos Estados";895852,84
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.2.01.00.00 - Participação na Receita dos Estados";895852,84
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.2.01.01.00 - Cota-Parte do ICMS";853061,79
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.2.01.02.00 - Cota-Parte do IPVA";11968,88
Prefeitura Municipal de Piçarra - PA;1505635;PA;12720;"Deduções da Receita";"1.7.2.2.01.04.00 - Cota-Parte do IPI sobre Exportação";30822,17
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"Total Receitas";69932451,12
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.0.0.0.00.00.00 - Receitas Correntes";68739777,25
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.0.0.00.00.00 - Receita Tributária";4009362,00
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.0.00.00.00 - Impostos";3650112,71
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda";1205201,84
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU";25809,95
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR";1102035,6
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.2.04.30.00 - Retido nas Fontes";1102035,6
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.2.08.00.00 - Imposto sobre Transmissão "Inter Vivos" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";77356,29
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação";2444910,87
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN";2444910,87
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.2.0.00.00.00 - Taxas";359249,29
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia";359249,29
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.2.0.0.00.00.00 - Receitas de Contribuições";71968,7
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública";71968,7
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.3.0.0.00.00.00 - Receita Patrimonial";137748,97
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.3.2.0.00.00.00 - Receitas de Valores Mobiliários";137748,97
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários";137748,97
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.0.0.00.00.00 - Transferências Correntes";64498617,56
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.0.00.00.00 - Transferências Intergovernamentais";64375004,23
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.1.00.00.00 - Transferências da União";34642761,85
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.1.01.00.00 - Participação na Receita da União";19161721,13
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM";19083564,41
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR";74821,22
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.1.01.32.00 - Cota-Parte do Imposto Sobre Operações de Crédito Câmbio e Seguro ou Relativas a Títulos ou Valores Mobiliários ¿ ComerciaLização do Ouro";3335,5
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.1.22.00.00 - Transferências da Compensação Financeira pela Exploração de Recursos Naturais";4784113,2
Prefeitura Municipal de Ipixuna do Pará - PA;1503457;PA;54609;"Receitas Realizadas";"1.7.2.1.22.20.00 - Cota-parte da Compensação Financeira de Recursos Minerais - CFEM";4512884,76
