Exercício: 2015
Escopo: Municípios do Estado - PA
Tabela: Despesas Orçamentárias (Anexo I-D)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"Total Geral da Despesa";104107209,8
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.0.00.00.00.00 - Despesas Correntes";100491417,87
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.00.00.00.00 - Pessoal e Encargos Sociais";47880454,93
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.00.00.00 - Aplicações Diretas";47880454,93
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.04.00.00 - Contratação por Tempo Determinado";15417741,57
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.05.00.00 - Outros Benefícios Previdenciários do servidor ou do militar";365275,1
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.11.00.00 - Vencimentos e Vantagens Fixas - Pessoal Civil";24036693,79
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.13.00.00 - Obrigações Patronais";7072919,2
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.13.02.00 - Contribuições Previdenciárias - INSS";2814057,98
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.13.99.00 - Outras Obrigações Patronais";4258861,22
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.16.00.00 - Outras Despesas Variáveis - Pessoal Civil";971885,00
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.1.90.92.00.00 - Despesas de Exercícios Anteriores";15940,27
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.3.00.00.00.00 - Outras Despesas Correntes";52610962,94
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.3.20.00.00.00 - Transferências à União";2340091,09
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.3.50.00.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos";10000,00
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;"Despesas Empenhadas";"3.3.90.00.00.00 - Aplicações Diretas";50260871,85
