munic|nome_municipio|sigla_uf|lavoura_perm|lavoura_temp|lavoura_temp_desc|pastagens_naturais|pastagens_plant|matas_f_nat|matas_flor_art|terras_prod|terras_inap
1100015|Alta Floresta D'Oeste|RO|13713,1|12448|2316,1|24080,1|102685,4|208768,4|1497,7|43578,8|13453,8
1100023|Ariquemes|RO|13668,5|4077,9|3869,4|236,6|110289,1|173012,8|1888,6|3695,9|4619,1
1100031|Cabixi|RO|1162,9|4028,1|1208|1730,3|53738,7|89159,4|561,8|1345,3|1644,8
1100049|Cacoal|RO|25538,9|4828,6|3822,5|1646,3|122929,6|95818,8|135,5|4316,7|4019,2
1100056|Cerejeiras|RO|1063,5|4622,3|1639,5|132957,8|109712|137039,9|9849,3|9667,1|7402,3
1100064|Colorado do Oeste|RO|870,6|6271,5|1129,9|23810,2|46229,1|50606,8|1200,2|1659,8|125,5
1100072|Corumbiara|RO|2022,7|6166,9|1971,9|8394,8|110613,6|122412,6|288,7|4228,2|3777,1
1100080|Costa Marques|RO|1581,8|2942,8|489,3|2535,5|13960,8|212975,2|662,1|40917,6|8961,3
1100098|Espigăo D'Oeste|RO|5740,2|4014,4|2006,3|11748,8|79068,8|117351,7|2608,8|3446,6|3751
1100106|Guajará-Mirim|RO|727,1|1912,3|1485,1|7550,1|30639,8|417717,2|462,2|11129,5|2010,6
1100114|Jaru|RO|9417,4|6994,8|3422,5|20288,5|101469,8|53975,9|1765,6|7377,7|1009,2
1100122|Ji-Paraná|RO|3968,4|3333,9|1927|15372,5|130074,6|308922,6|697,4|3243,7|1412,1
1100130|Machadinho D'Oeste|RO|15425,3|7802,3|3093,4|2499,3|47299,2|309449,3|470,5|6034,1|696,2
1100148|Nova Brasilândia D'Oeste|RO|8950,6|3163|1387,3|1494,7|33031,3|45663,9|874,3|512,3|1925,7
1100155|Ouro Preto do Oeste|RO|14687,2|7935,1|3834,6|11357|182266|77735,9|1585,3|4809|1135,8
1100189|Pimenta Bueno|RO|7930|11305,5|1553|9610,8|231232,4|358683,6|3590,9|18821,1|10304,9
1100205|Porto Velho|RO|3465,2|6390,7|1637,8|12437,4|94865,4|640189,5|752,2|15691|2098,5
1100254|Presidente Médici|RO|6623,6|6051,6|2059,3|2925|98305,5|49734,5|771,4|5127,6|698,9
1100262|Rio Crespo|RO|4950,2|1606,1|881|1013,2|55745,6|133232,1|701,4|1487,9|1262,4
1100288|Rolim de Moura|RO|7628,1|4580,8|1417,6|2795,2|61459,3|42547,9|268,3|2691,6|2785
1100296|Santa Luzia D'Oeste|RO|2619,7|4966,8|1317,8|4592,6|47450,6|30018,8|444,4|1088,5|3113,7
1100304|Vilhena|RO|487,5|10354,2|1647,7|3167,6|91056|253520,7|375,6|6924,8|2955,7
1100320|Săo Miguel do Guaporé|RO|14557,8|3589,6|894|4681,3|47788,3|110569,7|554,8|2297,8|3025,8
1100338|Nova Mamoré|RO|2255,3|4858,1|437,5|692,5|46062,3|98754,9|156|1989,5|795,1
1100346|Alvorada D'Oeste|RO|5851,6|5317|1420,8|2008,4|59382,3|62436,9|452,6|2308,8|684
1100403|Alto Paraíso|RO|8930,2|3645,5|2502,1|2865,9|20296,7|65420,9|820,2|4638,3|2917,3
1100502|Novo Horizonte do Oeste|RO|6737,4|3181|823,9|4465,6|24864,5|37504,9|1016,7|1210,9|1475,9
1100601|Cacaulândia|RO|3515,5|1910,1|1214,5|1611,7|54897,1|85751,3|295,2|2004,8|3626,3
1100700|Campo Novo de Rondônia|RO|5740,4|5749,7|1827,5|1431,5|26635,7|161243,1|357|3846,7|1392,4
1100809|Candeias do Jamari|RO|2150,9|1690,1|1925,9|1123,6|33637,3|126898,2|1502,4|2654,3|1128,4
1100908|Castanheiras|RO|1471,2|1317,8|1356,9|2282,9|33676,3|36580,4|252,9|962,5|980,9
1101005|Governador Jorge Teixeira|RO|5115,3|3853,9|4421,6|123,4|34924,6|50168|709,1|2892,9|326,5
1101104|Itapuă do Oeste|RO|618|501|175,5|1585,2|7047,3|13359,8|210,3|1768,4|128,8
1101203|Ministro Andreazza|RO|10033|1086,6|530,6|630,4|26676,8|26106,1|466,6|1694,3|255,6
1101302|Mirante da Serra|RO|4953,7|2731,1|1770,4|540,4|19793,2|27695,4|728,8|1208,4|397,9
1101401|Monte Negro|RO|4584,1|2132,5|438,6|2956,4|31618,2|80698,1|254,1|2234,7|1004,3
1101500|Seringueiras|RO|6819,1|2263,2|426,5|604,9|41505,6|69135|724,9|1338|1102,3
1101609|Theobroma|RO|4972,6|2819,9|1433,1|1778,5|56336,8|69870,2|575,3|3274,2|78
1101708|Urupá|RO|6816,1|3161,4|1808,1|538,5|27854,8|13504,9|196,6|1359,4|198,2
1101807|Vale do Paraíso|RO|6969,6|2368|1695,2|11203,4|31579,3|26185|314,6|1147,1|77,4
1200013|Acrelândia|AC|947,8|2029,9|521|203|18916|53039,1|288,5|296,1|587,8
1200054|Assis Brasil|AC|36,4|548,7|1259|165,3|3152,2|12708,5|-|697,9|521,1
1200104|Brasiléia|AC|356,2|4750,7|4693|1420,4|46678,3|241750,3|118|1237,6|2217,1
1200138|Bujari|AC|483|1100,5|4844,5|2073,3|53511,8|103633,8|2389,5|7601,5|5271,9
1200179|Capixaba|AC|429,7|902,3|80,5|2939,3|28126,2|95612,7|161|2075|1204,8
1200203|Cruzeiro do Sul|AC|1012,7|5725,7|3227,5|5325,2|7525|68589,9|212,5|2688,9|3703,2
1200252|Epitaciolândia|AC|329,8|1191|3946,7|874|40753,4|107849,9|317|877|690,1
1200302|Feijó|AC|2068,8|5477,6|1349|4938|16599,8|287223|425,5|1678|2948,9
1200328|Jordăo|AC|376|1226|353|847,5|464,5|30809,5|412,5|246|645
1200336|Mâncio Lima|AC|367,9|1659,9|979,7|2340,8|2181|1071,1|68|5970,7|637,1
1200344|Manoel Urbano|AC|277,9|827,7|727,1|561|2220|18647,5|749|1170,8|875
1200351|Marechal Thaumaturgo|AC|86,8|3300,4|159|1532|562,1|58564,7|51,7|983,4|2132,1
1200385|Plácido de Castro|AC|754,3|3060,5|1209|2043,5|28257|55022,1|784,5|1062,8|1388,8
1200393|Porto Walter|AC|435,3|1989,3|738|903,8|1207|23177,9|29|100|953,4
1200401|Rio Branco|AC|2860,2|6136,9|5807,3|10090,7|94003,2|194891,9|839,6|7727,7|3286,8
1200427|Rodrigues Alves|AC|740,9|4009,1|1108,4|310,8|5372,4|15992,5|161,1|1725,7|1406,6
1200435|Santa Rosa do Purus|AC|63,3|93|212|513,5|962,5|9778,8|-|95,5|476
1200450|Senador Guiomard|AC|1705,6|2305,2|1206,5|6359,7|44576,7|77225,7|514,5|3435,3|1853
1200500|Sena Madureira|AC|780,1|4230|3476,5|5130,6|36773,9|210087|949,2|3449,3|8367,1
1200609|Tarauacá|AC|590,4|4391|1799,9|6892,1|26684,8|210447,9|1554|3096,1|3605,4
1200708|Xapuri|AC|653,9|2238,4|5278|4924|53097,5|301831,2|331,5|8607,1|9865,5
1200807|Porto Acre|AC|1163,3|2225,5|2021,9|1631,8|40567,9|149159,2|941,5|420,5|1622,4
1300029|Alvarăes|AM|809,3|3552,2|4734,1|212,2|144,5|3786,1|-|1074,5|51
1300060|Amaturá|AM|349,9|561,7|435,9|418,9|37,3|3127,8|7,8|1074,3|346,8
1300086|Anamă|AM|989,5|653,5|714,8|324,5|94,9|3084,8|-|789|403
1300102|Anori|AM|356|293,1|270,2|41,9|28|1469,3|-|318,2|142,4
1300144|Apuí|AM|2450,1|3705|1799|552|29259|167572,9|-|4408|446
1300201|Atalaia do Norte|AM|309|542,3|9,5|6|3|520,9|-|22,3|28,7
1300300|Autazes|AM|1975,8|2262,1|2165,5|19670,4|31381,1|78081,8|9,5|2694,9|5148,5
1300409|Barcelos|AM|404,9|974,7|55,3|90|90,3|1692|-|323,5|251,7
1300508|Barreirinha|AM|559,8|1667,2|761,4|18548,5|7225|20957,1|-|3973,3|5042,8
1300607|Benjamin Constant|AM|1333,7|2519,8|689|1215,4|49|4649,7|-|268,3|409,3
1300631|Beruri|AM|575,1|913,3|55,2|214,1|27|5974,7|1,1|771,9|320,7
1300680|Boa Vista do Ramos|AM|719,8|547,8|633,4|7131,9|4398,5|18844,8|21,5|2230,9|3360,3
