ano_ref|ano_amc|populacao|codigo|nome|mun_cod_amc|nome_amc|amazonia|latitude_amc|longitude_amc|amc_original|tipo_territorio_id
2006|1995|51966|2114007|Zé Doca|2114007amc|Zé Doca (*)|S|-3.24300|-45.82400|21AMC9606055|1
2006|1995|13119|2104651|Governador Newton Bello|2114007amc|Zé Doca (*)|S|-3.42600|-45.67600|21AMC9606055|1
2006|1995|8664|2100873|Araguanã|2114007amc|Zé Doca (*)|S|-2.95300|-45.66500|21AMC9606055|1
2006|1995|1937|3557154|ZACARIAS|3557154|Zacarias|N|-21.05200|-50.05100||1
2006|1995|47918|2933604|XIQUE-XIQUE|2933604|Xique-Xique|N|-10.82200|-42.73100||1
2006|1995|2752|1507755|Sapucaia|1508407amc|Xinguara (*)|S|-6.94700|-49.68200|15AMC9606014|1
2006|1995|29606|1508407|Xinguara|1508407amc|Xinguara (*)|S|-7.09500|-49.94600|15AMC9606014|1
2006|1995|15752|2616506|XEXEU|2616506|Xexéu|N|-8.80200|-35.62700||1
2006|1995|25126|4219705|XAXIM|4219705|Xaxim|N|-26.96200|-52.53500||1
2006|1995|3992|4219606|XAVANTINA|4219606|Xavantina|N|-27.06900|-52.34200||1
2006|1995|13893|1200708|XAPURI|1200708|Xapuri|S|-10.65200|-68.50400||1
2006|1995|40862|4219507|XANXERE|4219507|Xanxerê|N|-26.87700|-52.40400||1
2006|1995|10352|4323804|XANGRI-LA|4323804|Xangri-lá|N|-29.80100|-50.04400||1
2006|1995|4821|4128807|XAMBRE|4128807|Xambrê|N|-23.73600|-53.49000||1
2006|1995|12799|1722107|XAMBIOA|1722107|Xambioá|S|-6.41100|-48.53600||1
2006|1995|3020|4219408|WITMARSUM|4219408|Witmarsum|N|-26.92600|-49.79600||1
2006|1995|29304|2933505|WENCESLAU GUIMARAES|2933505|Wenceslau Guimarães|N|-13.68700|-39.47900||1
2006|1995|20067|4128500|WENCESLAU BRAZ|4128500|Wenceslau Braz|N|-23.87400|-49.80300||1
2006|1995|2677|3172202|WENCESLAU BRAZ|3172202|Wenceslau Braz|N|-22.53400|-45.36300||1
2006|1995|13658|2933455|WANDERLEY|2933455|Wanderley|N|-12.12000|-43.88800||1
2006|1995|11022|1722081|WANDERLANDIA|1722081|Wanderlândia|S|-6.84900|-47.96300||1
2006|1995|9817|2933406|WAGNER|2933406|Wagner|N|-12.28700|-41.16800||1
2006|1995|83764|3557105|VOTUPORANGA|3557105|Votuporanga|N|-20.42300|-49.97300||1
2006|1995|107157|3557006|VOTORANTIM|3557006|Votorantim|N|-23.54700|-47.43800||1
2006|1995|258145|3306305|VOLTA REDONDA|3306305|Volta Redonda|N|-22.52300|-44.10400||1
2006|1995|5206|3172103|VOLTA GRANDE|3172103|Volta Grande|N|-21.77100|-42.53900||1
2006|1995|28205|2113009|VITORINO FREIRE|2113009|Vitorino Freire|S|-4.28200|-45.25100||1
2006|1995|6142|4128708|VITORINO|4128708|Vitorino|N|-26.27700|-52.78400||1
2006|1995|10206|1508357|VITORIA DO XINGU|1508357|Vitória do Xingu|S|-2.88000|-52.01000||1
2006|1995|10829|2101772|Bela Vista do Maranhão|2112902amc|Vitória do Mearim (*)|S|-3.73100|-45.31500|21AMC9606054|1
2006|1995|34750|2112902|Vitória do Mearim|2112902amc|Vitória do Mearim (*)|S|-3.46200|-44.87100|21AMC9606054|1
2006|1995|11489|2105153|Igarapé do Meio|2112902amc|Vitória do Mearim (*)|S|-3.66100|-45.22700|21AMC9606054|1
